,county_state
802,"Jefferson, AR"
803,"Jefferson, AR"
804,"Jefferson, AR"
805,"Jefferson, AR"
806,"Jefferson, AR"
807,"Jefferson, AR"
808,"Johnson, AR"
809,"Johnson, AR"
810,"Johnson, AR"
811,"Johnson, AR"
812,"Johnson, AR"
813,"Johnson, AR"
814,"Johnson, AR"
815,"Johnson, AR"
816,"Lafayette, AR"
817,"Lafayette, AR"
818,"Lafayette, AR"
819,"Lafayette, AR"
820,"Lafayette, AR"
821,"Lawrence, AR"
822,"Lawrence, AR"
823,"Lawrence, AR"
824,"Lawrence, AR"
825,"Lawrence, AR"
826,"Lawrence, AR"
827,"Lawrence, AR"
828,"Lawrence, AR"
829,"Lawrence, AR"
830,"Lee, AR"
831,"Lee, AR"
832,"Lincoln, AR"
833,"Lincoln, AR"
834,"Lincoln, AR"
835,"Lincoln, AR"
836,"Little-River, COUNTY"
837,"Little-River, COUNTY"
838,"Little-River, COUNTY"
839,"Little-River, COUNTY"
840,"Logan, AR"
841,"Logan, AR"
842,"Logan, AR"
843,"Logan, AR"
844,"Logan, AR"
845,"Logan, AR"
846,"Logan, AR"
847,"Logan, AR"
848,"Logan, AR"
849,"Logan, AR"
850,"Lonoke, AR"
851,"Lonoke, AR"
852,"Lonoke, AR"
853,"Lonoke, AR"
854,"Lonoke, AR"
855,"Lonoke, AR"
856,"Lonoke, AR"
857,"Lonoke, AR"
858,"Lonoke, AR"
859,"Lonoke, AR"
860,"Lonoke, AR"
861,"Lonoke, AR"
862,"Lonoke, AR"
863,"Lonoke, AR"
864,"Lonoke, AR"
865,"Lonoke, AR"
866,"Madison, AR"
867,"Madison, AR"
868,"Madison, AR"
869,"Marion, AR"
870,"Marion, AR"
871,"Marion, AR"
872,"Marion, AR"
873,"Marion, AR"
874,"Miller, AR"
875,"Mississippi, AR"
876,"Mississippi, AR"
877,"Mississippi, AR"
878,"Mississippi, AR"
879,"Mississippi, AR"
880,"Mississippi, AR"
881,"Mississippi, AR"
882,"Mississippi, AR"
883,"Mississippi, AR"
884,"Mississippi, AR"
885,"Monroe, AR"
886,"Monroe, AR"
887,"Monroe, AR"
888,"Montgomery, AR"
889,"Montgomery, AR"
890,"Nevada, AR"
891,"Nevada, AR"
892,"Newton, AR"
893,"Newton, AR"
894,"Newton, AR"
895,"Ouachita, AR"
896,"Ouachita, AR"
897,"Ouachita, AR"
898,"Ouachita, AR"
899,"Perry, AR"
900,"Perry, AR"
901,"Perry, AR"
902,"Perry, AR"
903,"Phillips, AR"
904,"Phillips, AR"
905,"Phillips, AR"
906,"Pike, AR"
907,"Pike, AR"
908,"Pike, AR"
909,"Pike, AR"
910,"Pike, AR"
911,"Poinsett, AR"
912,"Poinsett, AR"
913,"Poinsett, AR"
914,"Poinsett, AR"
915,"Polk, AR"
916,"Polk, AR"
917,"Polk, AR"
918,"Pope, AR"
919,"Pope, AR"
920,"Pope, AR"
921,"Pope, AR"
922,"Pope, AR"
923,"Pope, AR"
924,"Pope, AR"
925,"Pope, AR"
926,"Pope, AR"
927,"Pope, AR"
928,"Pope, AR"
929,"Pope, AR"
930,"Prairie, AR"
931,"Prairie, AR"
932,"Prairie, AR"
933,"Pulaski, AR"
934,"Pulaski, AR"
935,"Pulaski, AR"
936,"Pulaski, AR"
937,"Pulaski, AR"
938,"Pulaski, AR"
939,"Pulaski, AR"
940,"Pulaski, AR"
941,"Pulaski, AR"
942,"Pulaski, AR"
943,"Pulaski, AR"
944,"Pulaski, AR"
945,"Pulaski, AR"
946,"Pulaski, AR"
947,"Pulaski, AR"
948,"Pulaski, AR"
949,"Pulaski, AR"
950,"Pulaski, AR"
951,"Pulaski, AR"
952,"Pulaski, AR"
953,"Pulaski, AR"
954,"Pulaski, AR"
955,"Pulaski, AR"
956,"Pulaski, AR"
957,"Randolph, AR"
